"ID","Survey_year","Weight","Age","Gender","TRACE","Region","Family_type","Parents_college","Poverty","Language_home","SNAP","TANF","SSI","Repeated_grade","Suspended_expelled","Gifted_class","Cares_about_school","Does_homework","Sports","Clubs","Lessons","After_school_program","Religion_event","Any_extracurricular"
"2018_41896729118_103_2021",2021,3473.746593,7,"Female",3,3,2,1,0,"English only",0,0,0,0,0,0,1,1,0,0,1,0,4,1
"2018_41899528318_104_2021",2021,4861.0153685,16,"Female",3,3,1,1,0,"English only",0,0,0,1,0,0,1,1,1,0,0,NA,2,1
"2018_41899528318_105_2021",2021,3707.2324266,13,"Male",3,3,1,1,0,"English only",0,0,1,0,0,0,2,1,1,0,0,0,2,1
"2018_41899550218_105_2021",2021,7034.4343344,14,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,1,0,0,4,1
"2018_81602163018_302_2021",2021,2668.6459256,10,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,3,1,1,0,0,0,4,1
"2018_81602163018_303_2021",2021,3538.9603081,9,"Female",1,3,1,1,0,"English only",0,0,0,1,0,0,3,1,0,0,0,0,4,0
"2018_81682411618_103_2021",2021,5214.9421783,13,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_81682411618_104_2021",2021,7488.4195818,11,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_81682411618_105_2021",2021,8529.7751092,8,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_86002163018_104_2021",2021,5197.288347,14,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,4,0
"2018_86002166018_104_2021",2021,5436.0892049,6,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,2,2,1,0,0,0,4,1
"2018_86013511618_103_2021",2021,7618.780136,12,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,1,1,0,4,1
"2018_86013511618_104_2021",2021,5440.2312402,11,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,0,4,0
"2018_86013596718_103_2021",2021,5211.8297036,10,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,1,0,1,1
"2018_86013596718_104_2021",2021,5421.6641406,8,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,1,0,1,1
"2018_86018599418_104_2021",2021,8460.2101551,15,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,2,1,1,1,0,NA,4,1
"2018_86019968918_105_2021",2021,5743.7001811,13,"Female",1,3,1,1,1,"English only",0,0,0,0,0,1,2,1,1,0,0,0,4,1
"2018_86022823518_103_2021",2021,5052.6732508,17,"Female",4,1,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,1,0,NA,1,1
"2018_86022823518_104_2021",2021,5952.0633983,16,"Male",4,1,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,0,0,NA,1,0
"2018_86027485218_102_2021",2021,6480.2832615,17,"Female",1,3,2,0,0,"English only",0,0,0,0,1,1,1,1,0,0,0,NA,1,0
"2018_86032077818_104_2021",2021,4565.7325693,13,"Male",1,4,2,0,0,"English only",1,0,0,0,0,0,2,2,0,0,0,0,1,0
"2018_86033429418_401_2021",2021,6133.8284472,8,"Male",1,3,NA,NA,NA,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_86033498818_103_2021",2021,3887.3797814,17,"Female",3,4,1,1,1,"English only",1,0,0,0,0,0,1,1,0,0,1,NA,4,1
"2018_86033498818_104_2021",2021,3052.9205765,13,"Male",3,4,1,1,1,"English only",1,0,0,0,0,0,4,3,0,0,0,0,4,0
"2018_86040025918_103_2021",2021,7426.6582543,15,"Female",2,3,2,0,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_86040083118_103_2021",2021,6160.449036,8,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,1,1,0,1,0,4,1
"2018_86040636518_102_2021",2021,4168.8374192,16,"Female",1,NA,2,1,0,NA,0,1,0,0,0,0,2,2,0,0,0,NA,4,0
"2018_86040636518_103_2021",2021,4551.2861983,15,"Female",1,4,2,1,0,"English only",0,1,0,0,0,0,3,1,0,0,0,0,4,0
"2018_86040677818_104_2021",2021,6949.4622562,13,"Female",1,4,3,1,0,"English only",0,0,0,0,0,1,1,1,0,0,0,0,1,0
"2018_86041825818_201_2021",2021,6721.7106539,10,"Male",1,1,1,1,0,"English only",0,0,0,1,0,0,1,2,1,0,1,0,1,1
"2018_86043863818_103_2021",2021,2042.797998,16,"Male",1,4,1,1,0,"English only",0,0,0,1,1,0,2,2,1,0,1,NA,1,1
"2018_86043863818_104_2021",2021,2854.0503464,15,"Male",1,4,1,1,0,"English only",0,0,0,1,1,1,1,1,1,0,1,NA,1,1
"2018_86043863818_105_2021",2021,3539.0745395,10,"Female",1,4,1,1,0,"English only",0,0,0,0,0,0,1,1,1,0,1,0,1,1
"2018_86050806018_103_2021",2021,5399.8114264,10,"Male",10,3,2,0,0,"English only",1,0,0,1,0,1,1,1,1,0,0,0,2,1
"2018_86050806018_104_2021",2021,5533.6896095,9,"Female",10,3,2,0,0,"English only",1,0,0,0,1,0,3,2,1,0,0,0,2,1
"2018_86050814918_103_2021",2021,5911.3169005,13,"Female",7,3,1,1,0,"English only",0,1,0,0,0,0,2,1,1,0,1,0,2,1
"2018_86052760218_103_2021",2021,4413.1828403,14,"Male",1,2,1,1,0,"English only",0,0,0,0,0,0,2,1,1,0,0,0,5,1
"2018_86052760218_104_2021",2021,6168.6280453,12,"Female",1,2,1,1,0,"English only",0,0,0,0,0,0,3,1,1,1,1,0,5,1
"2018_86053303518_102_2021",2021,1437.2559331,16,"Female",9,3,1,1,0,"English only",0,0,0,0,0,1,2,1,1,0,0,NA,3,1
"2018_86053303518_302_2021",2021,2060.5927301,11,"Female",7,NA,2,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018_86059719618_103_2021",2021,6615.3572005,17,"Male",1,2,1,NA,0,"Other language",0,0,0,0,0,0,2,1,0,0,0,NA,1,0
"2018_86059719618_105_2021",2021,7255.8595596,9,"Female",1,2,1,1,0,"Other language",0,0,0,0,0,0,1,2,0,0,0,0,1,0
"2018_86059719618_106_2021",2021,4757.8187316,11,"Male",1,2,1,1,0,"Other language",0,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_86060419618_103_2021",2021,5076.7052528,10,"Male",1,2,1,0,0,"Other language",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_86060419618_104_2021",2021,5081.4334555,7,"Male",1,2,1,0,0,"Other language",0,0,0,0,0,0,2,3,0,0,0,0,1,0
"2018_86068897918_103_2021",2021,8921.8499142,7,"Male",1,3,1,0,0,"English only",0,0,0,0,0,0,1,1,1,0,0,0,1,1
"2018_86072611618_103_2021",2021,8011.4344289,11,"Female",1,2,3,1,0,"English only",0,0,0,0,0,1,1,1,1,0,0,0,1,1
"2018_86072611618_104_2021",2021,6183.476755,9,"Male",1,2,3,1,0,"English only",0,0,0,0,0,0,1,1,1,0,0,0,1,1
"2018_86081073018_103_2021",2021,4409.0530071,12,"Male",1,2,1,1,0,"English only",0,0,0,0,0,1,1,1,1,0,0,0,1,1
"2018_86081699518_103_2021",2021,4706.2184275,17,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,NA,4,0
"2018_86084904018_104_2021",2021,6138.1244507,13,"Male",1,2,1,0,1,"Other language",0,0,0,0,0,0,1,1,1,0,0,0,4,1
"2018_86084913818_105_2021",2021,3479.1182469,12,"Female",8,2,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_86084913818_106_2021",2021,2738.952744,9,"Male",8,2,1,1,0,"English only",0,0,0,0,0,0,3,1,0,0,0,0,1,0
"2018_86086038618_102_2021",2021,6399.1485211,13,"Male",1,4,2,1,1,"English only",1,0,0,1,0,0,1,1,0,0,0,0,1,0
"2018_86086038618_103_2021",2021,6399.1485211,13,"Male",1,4,2,1,1,"English only",1,0,0,1,0,0,3,1,0,0,0,0,1,0
"2018_86099510518_103_2021",2021,8752.9402624,13,"Female",1,1,1,1,0,"English only",0,0,0,0,0,1,1,1,1,0,0,0,1,1
"2018_86099510518_104_2021",2021,6334.1745956,10,"Male",1,1,1,1,0,"English only",0,0,0,0,0,0,1,1,1,0,1,1,1,1
"2018_99509225918_103_2021",2021,6378.6036795,9,"Male",1,3,1,1,0,"English only",0,0,0,0,0,1,3,1,1,0,0,0,3,1
"2018_99518594618_103_2021",2021,6175.1486249,9,"Male",9,3,1,1,0,"English only",0,0,0,0,0,0,2,1,0,1,0,0,4,1
"2018_99518594618_104_2021",2021,5247.5338244,8,"Female",9,3,1,1,0,"English only",0,0,0,0,0,0,2,2,0,1,0,0,4,1
"2018_99518594618_105_2021",2021,5717.3882935,6,"Female",9,3,1,1,0,"English only",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"2018_99529429118_105_2021",2021,4916.0462412,17,"Male",1,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,1,0,NA,4,1
"2018_99529429118_106_2021",2021,5423.3813978,14,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,3,3,0,1,1,0,4,1
"2018_99529490518_103_2021",2021,9344.2842811,13,"Female",1,3,1,1,0,"English only",0,0,0,0,1,1,2,2,0,1,0,0,1,1
"2018_99581629418_103_2021",2021,6130.8948024,10,"Male",7,3,1,1,1,"English only",0,0,0,0,0,1,1,1,1,1,0,1,4,1
"2018_3811421536918_103_2021",2021,4091.4088236,14,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,2,1,1,1,1,0,2,1
"2018_3811421536918_104_2021",2021,4522.7555637,7,"Male",1,3,1,1,0,"English only",0,0,0,0,0,1,2,1,0,0,1,1,2,1
"2018_3811434276518_102_2021",2021,11679.157716,13,"Female",1,3,3,0,0,"English only",0,0,0,0,0,0,3,2,0,0,0,0,2,0
"2018_3811441877218_104_2021",2021,4011.5778138,14,"Male",1,3,2,1,0,"English only",0,0,0,0,0,0,4,4,0,0,0,0,1,0
"2018_3811499519618_103_2021",2021,7139.5656112,17,"Female",1,3,1,1,0,"English only",0,0,0,0,0,1,1,1,1,0,0,NA,3,1
"2018_3812641887618_103_2021",2021,6308.1347292,15,"Female",1,3,1,1,0,"English only",0,0,0,0,1,0,1,1,1,1,0,NA,1,1
"2018_3827411490118_102_2021",2021,5267.7688836,11,"Female",1,3,2,0,1,"English only",1,0,0,0,0,1,2,3,0,0,0,0,2,0
"2018_3827433487618_401_2021",2021,6071.9945125,12,"Female",1,3,1,NA,0,"English only",0,0,0,0,1,0,1,1,1,1,0,0,5,1
"2018_3827481611718_102_2021",2021,9301.5026419,13,"Male",2,3,1,0,1,"English only",1,0,0,0,0,1,2,1,0,0,0,0,1,0
"2018_3828504962118_103_2021",2021,8965.7428403,6,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,2,2,1,0,0,0,2,1
"2018_3828504997118_102_2021",2021,6292.6804932,13,"Female",1,3,3,1,1,"Other language",0,0,0,0,0,0,2,2,1,0,1,0,1,1
"2018_3828528508918_301_2021",2021,4174.3911229,16,"Male",2,3,3,0,0,"English only",0,0,1,1,1,0,2,3,0,0,0,NA,1,0
"2018_3828528532418_201_2021",2021,9068.646175,8,"Female",2,3,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,0,1,0
"2018_3828555506718_103_2021",2021,2865.1916349,10,"Female",1,4,1,1,0,"English only",0,0,0,0,0,0,2,3,0,0,0,0,1,0
"2018_3828555506718_104_2021",2021,3046.7684657,7,"Male",1,4,1,1,0,"English only",0,0,0,0,0,0,1,2,0,0,0,0,1,0
"2018_3828555547518_103_2021",2021,8798.7580466,13,"Male",1,3,1,1,0,"Other language",0,0,0,0,0,0,2,1,1,0,0,0,2,1
"2018_3828555562118_104_2021",2021,6363.3285465,10,"Female",1,3,1,0,0,"Other language",0,0,0,0,0,0,2,1,0,0,0,0,1,0
"2018_3828555562118_105_2021",2021,7061.9936664,7,"Female",1,3,1,0,0,"Other language",0,0,0,0,0,0,2,1,0,0,0,0,1,0
"2018_3828559768918_103_2021",2021,8265.8049752,6,"Female",1,4,1,0,0,"Other language",1,0,0,0,0,0,1,1,0,0,0,0,1,0
"2018_3828560446618_103_2021",2021,9740.8340351,17,"Male",7,2,2,1,0,"English only",0,0,0,0,1,0,2,2,1,0,0,NA,1,1
"2018_3828560446618_104_2021",2021,8362.8425612,14,"Female",7,2,2,1,0,"English only",0,0,0,0,0,0,1,1,1,0,0,0,1,1
"2018_3828560446618_105_2021",2021,9193.6880436,10,"Female",1,2,2,1,0,"English only",0,0,0,0,0,0,2,2,1,0,1,0,1,1
"2018_3828582447718_402_2021",2021,1990.2207612,16,"Female",1,3,2,0,1,"English only",0,0,0,0,0,0,1,3,0,0,0,NA,2,0
"2018_3828582447718_403_2021",2021,1937.2051739,9,"Female",1,3,2,0,1,"English only",0,0,0,0,0,0,1,3,0,0,0,0,2,0
"2018_3828592950918_102_2021",2021,9834.3097153,16,"Female",2,3,1,NA,0,"Other language",0,0,0,0,0,0,1,1,1,1,0,NA,2,1
"2018_3828594516018_103_2021",2021,13838.284592,16,"Female",2,3,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,NA,4,0
"2018_3828594516018_104_2021",2021,12033.490148,15,"Male",2,3,1,1,0,"English only",0,0,0,0,1,0,3,3,0,0,0,NA,4,0
"2018_3828594516018_105_2021",2021,11202.688244,9,"Male",2,3,1,1,0,"English only",0,0,0,0,0,0,3,3,0,0,0,0,4,0
"2018_3828594516018_106_2021",2021,11202.688244,7,"Male",2,3,1,1,0,"English only",0,0,0,0,0,0,1,1,0,0,0,0,4,0
"2018_3828594516018_107_2021",2021,14541.255276,6,"Female",2,3,1,1,0,"English only",0,0,0,0,0,0,2,1,0,0,0,0,4,0
"2018_3833406819418_103_2021",2021,4853.2846137,9,"Male",1,3,1,1,0,"English only",0,0,0,1,0,0,1,2,0,0,0,0,4,0
"2018_3833406819418_104_2021",2021,5048.6836007,7,"Male",1,3,1,1,0,"English only",0,0,0,0,0,0,1,2,0,0,0,0,4,0
